epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2084,0,59.9005,0,0.00258,0.3125,0.09894,0.05504,1.6923,3.97994,1.60529,0.000175,0.000175,0.000175
2,14.4152,0,56.5969,0,0.00017,0.0625,0.06131,0.03679,2.50702,4.4096,3.2644,0.000358911,0.000358911,0.000358911
3,17.5659,0,52.4246,0,0.00017,0.0625,0.06131,0.03679,3.39541,4.75174,5.82338,0.00053911,0.00053911,0.00053911
4,20.5295,0,49.2812,0,0.00025,0.0625,0.0002,4e-05,3.30999,4.51478,3.02652,0.000715596,0.000715596,0.000715596
5,25.1776,0,47.335,0,0.00108,0.25,0.01431,0.00156,3.37098,9.61374,4.58103,0.00088837,0.00088837,0.00088837
6,30.3036,0,45.2095,0,0.00106,0.25,0.06378,0.0068,3.29514,4.40702,3.97589,0.00105743,0.00105743,0.00105743
7,33.5264,0,43.5048,0,0.00015,0.0625,0.00881,0.00254,3.14193,4.16956,4.1375,0.00117575,0.00117575,0.00117575
8,36.3883,0,42.0389,0,0.00015,0.0625,0.00881,0.00254,3.811,4.75667,3.90071,0.00116337,0.00116337,0.00116337
9,39.2801,0,40.8698,0,0.00015,0.0625,0.00881,0.00254,4.10659,4.87649,3.30528,0.001151,0.001151,0.001151
10,44.0208,0,39.457,0,0.00015,0.0625,0.00881,0.00254,4.16468,4.66201,3.45487,0.00113863,0.00113863,0.00113863
11,49.3989,0,38.1412,0,0.0003,0.125,0.00897,0.00096,4.39672,4.55236,3.67846,0.00112625,0.00112625,0.00112625
12,52.3953,0,37.1204,0,0.00031,0.125,0.00143,0.00014,4.31721,4.51299,3.77685,0.00111388,0.00111388,0.00111388
13,55.4859,0,36.4603,0,0.00016,0.0625,0.0001,1e-05,4.45469,6.81721,4.66988,0.0011015,0.0011015,0.0011015
14,58.5476,0,35.4058,0,0.00016,0.0625,0.00021,2e-05,4.52379,6.58973,6.56116,0.00108913,0.00108913,0.00108913
15,63.3581,0,34.332,0,0.00016,0.0625,0.00098,0.0001,3.98639,4.3395,7.09324,0.00107675,0.00107675,0.00107675
16,68.5522,0,33.2377,0,0.00021,0.0625,0.00565,0.00096,3.85337,4.33609,5.30391,0.00106437,0.00106437,0.00106437
17,71.565,0,32.2724,0,0.00136,0.0625,0.00169,0.00017,3.81942,4.28717,3.65409,0.001052,0.001052,0.001052
18,74.7531,0,31.2693,0,0.00174,0.1875,0.00425,0.00043,3.82701,4.14166,3.61968,0.00103962,0.00103962,0.00103962
19,77.7303,0,30.2432,0,0.0015,0.0625,0.00932,0.00093,3.98619,4.06659,3.70031,0.00102725,0.00102725,0.00102725
20,82.4938,0,29.2969,0,0.00402,0.125,0.0322,0.00643,4.33863,3.84323,3.78539,0.00101488,0.00101488,0.00101488
21,87.2061,0,28.4358,0,0.00011,0.0625,0.00017,2e-05,4.44309,3.87272,3.87299,0.0010025,0.0010025,0.0010025
22,89.9872,0,27.5411,0,0.00011,0.0625,0.00013,3e-05,4.45197,3.86118,3.68231,0.000990125,0.000990125,0.000990125
23,93.1849,0,26.6882,0,0.00011,0.0625,0.00011,1e-05,4.60235,3.8688,3.628,0.00097775,0.00097775,0.00097775
24,96.3162,0,25.8356,0,0.0001,0.0625,0.00013,1e-05,4.62216,3.84864,3.65274,0.000965375,0.000965375,0.000965375
25,101.01,0,25.0383,0,0.0001,0.0625,0.00013,1e-05,4.69754,3.85775,3.6381,0.000953,0.000953,0.000953
