epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32558,1.68374,4.16667,1.52794,0.00386,0.4625,0.23827,0.13415,1.65623,3.82483,1.50863,0.000175,0.000175,0.000175
2,10.895,1.64839,3.48673,1.48019,0.57657,0.3125,0.24028,0.11874,1.72443,3.62366,1.5968,0.000355322,0.000355322,0.000355322
3,17.0199,1.57056,2.81748,1.3446,0.91641,0.1875,0.2,0.0946,1.67153,3.42251,1.59015,0.00052822,0.00052822,0.00052822
4,20.7832,1.46537,2.7628,1.35466,0.85439,0.125,0.13506,0.07895,1.85324,3.43198,1.55556,0.000693692,0.000693692,0.000693692
5,23.9542,1.4966,2.61933,1.30376,0.87233,0.125,0.15672,0.08948,1.82519,3.41187,1.52857,0.00085174,0.00085174,0.00085174
6,27.1199,1.54216,2.61722,1.3495,0.88201,0.25,0.18811,0.11476,1.67534,3.34419,1.43032,0.00100236,0.00100236,0.00100236
7,30.7736,1.55375,2.55816,1.37376,0.86007,0.25,0.18458,0.09737,1.73611,3.35299,1.48522,0.0011015,0.0011015,0.0011015
8,36.4841,1.52625,2.33977,1.33325,0.86963,0.25,0.22143,0.09954,1.90026,3.50383,1.68283,0.00107675,0.00107675,0.00107675
9,39.6116,1.41917,2.12743,1.29236,0.98796,0.1875,0.26514,0.13765,1.927,3.08359,1.65916,0.001052,0.001052,0.001052
10,42.8871,1.42438,2.26993,1.29636,0.57107,0.29905,0.30217,0.16165,1.78959,2.84128,1.60766,0.00102725,0.00102725,0.00102725
11,46.1083,1.39073,2.13235,1.26916,0.99279,0.1875,0.27849,0.16229,1.86458,2.92904,1.68918,0.0010025,0.0010025,0.0010025
12,50.8773,1.41013,2.08628,1.27547,0.68931,0.25,0.28305,0.148,1.8926,3.55964,1.78476,0.00097775,0.00097775,0.00097775
13,56.2646,1.34213,2.03976,1.22661,0.8297,0.2375,0.34401,0.206,1.86759,2.77503,1.73474,0.000953,0.000953,0.000953
14,59.4756,1.3478,2.09085,1.25959,0.88487,0.27211,0.3308,0.22205,1.98408,2.74654,1.78219,0.00092825,0.00092825,0.00092825
15,62.7155,1.28704,1.84629,1.18114,0.94213,0.2216,0.34056,0.19665,1.88889,2.70153,1.85093,0.0009035,0.0009035,0.0009035
16,66.1074,1.2571,1.87017,1.22735,0.94498,0.25,0.33488,0.20051,1.85768,2.92842,1.82939,0.00087875,0.00087875,0.00087875
17,71.5527,1.36778,1.82008,1.22387,0.84881,0.325,0.36769,0.19185,1.84734,2.82507,1.73313,0.000854,0.000854,0.000854
18,75.9773,1.22665,1.79211,1.13103,0.63932,0.40041,0.3821,0.2113,1.70445,2.59755,1.57159,0.00082925,0.00082925,0.00082925
19,79.165,1.25129,1.76229,1.15179,0.49125,0.4775,0.39139,0.21812,1.72446,2.42168,1.56916,0.0008045,0.0008045,0.0008045
20,82.3487,1.09681,1.6302,1.1209,0.56475,0.47615,0.40175,0.21542,1.90435,2.37405,1.65074,0.00077975,0.00077975,0.00077975
21,86.0956,1.28731,1.71532,1.25367,0.72563,0.475,0.44688,0.23449,1.8042,2.33588,1.63547,0.000755,0.000755,0.000755
22,91.873,1.20308,1.55391,1.14978,0.67539,0.525,0.47175,0.24635,1.76761,2.20696,1.56222,0.00073025,0.00073025,0.00073025
23,95.2456,1.09423,1.43889,1.09193,0.5365,0.53508,0.43264,0.2335,1.68386,2.34361,1.4581,0.0007055,0.0007055,0.0007055
24,98.3766,1.15171,1.44211,1.11653,0.56536,0.41093,0.39831,0.24647,1.69329,2.22804,1.44835,0.00068075,0.00068075,0.00068075
25,101.632,1.08448,1.35911,1.11293,0.4611,0.45669,0.41039,0.21114,1.82475,2.20504,1.54285,0.000656,0.000656,0.000656
26,106.146,1.14505,1.48962,1.13038,0.62677,0.425,0.43387,0.21996,1.92133,2.40826,1.60568,0.00063125,0.00063125,0.00063125
27,111.375,1.09105,1.45696,1.07176,0.90767,0.36317,0.46391,0.25257,1.75506,2.19109,1.5606,0.0006065,0.0006065,0.0006065
28,114.595,1.10683,1.35571,1.10946,0.75519,0.4,0.4458,0.2516,1.7908,2.07564,1.52625,0.00058175,0.00058175,0.00058175
29,117.765,0.99642,1.23001,1.0425,0.78427,0.39849,0.42435,0.25731,1.72953,1.94,1.50599,0.000557,0.000557,0.000557
30,121.013,0.97982,1.23973,1.06448,0.66644,0.41229,0.43865,0.25947,1.7141,1.9724,1.44674,0.00053225,0.00053225,0.00053225
31,126.248,0.99158,1.24946,1.09944,0.63445,0.46574,0.4509,0.26521,1.73693,1.99774,1.4559,0.0005075,0.0005075,0.0005075
32,130.593,0.93895,1.1446,1.01234,0.72563,0.44113,0.48319,0.29382,1.78238,1.93668,1.45694,0.00048275,0.00048275,0.00048275
33,133.897,0.88596,1.1984,1.03664,0.60044,0.48665,0.46051,0.28688,1.68096,1.87635,1.44963,0.000458,0.000458,0.000458
34,137.18,0.93756,1.17523,1.09779,0.57295,0.4125,0.40742,0.25592,1.77224,1.92035,1.47586,0.00043325,0.00043325,0.00043325
35,141.645,0.94353,1.15825,0.99314,0.59043,0.40401,0.35371,0.22141,1.74152,2.07072,1.47697,0.0004085,0.0004085,0.0004085
36,147.085,0.93437,1.071,1.00137,0.57855,0.37553,0.35839,0.22418,1.64264,2.09934,1.45363,0.00038375,0.00038375,0.00038375
37,150.291,0.88119,1.061,1.00479,0.63787,0.45,0.41667,0.24471,1.69108,1.91922,1.49243,0.000359,0.000359,0.000359
38,153.384,0.90194,1.0496,0.97823,0.70271,0.45,0.4447,0.25946,1.70668,1.89697,1.48313,0.00033425,0.00033425,0.00033425
39,156.53,0.8798,1.1235,1.01792,0.70883,0.44907,0.46352,0.25656,1.68673,1.96726,1.43103,0.0003095,0.0003095,0.0003095
40,161.166,0.89111,1.12812,1.02991,0.78531,0.4,0.43935,0.24528,1.68148,2.03089,1.46205,0.00028475,0.00028475,0.00028475
41,166.988,0.8609,1.15757,1.01052,0.63186,0.475,0.46042,0.24226,1.64967,1.99923,1.49272,0.00026,0.00026,0.00026
